time points,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,1,0,2,0,2,0,0,1,0,0,2,1,0,2,1,0,0,0,0,1,1,1,3,0,2,1,0,0,1,1,1,0,1,1,0,0,0
3,4,4,5,3,3,6,4,2,2,1,5,4,2,6,3,6,4,2,3,2,0,5,2,4,2,5,3,5,7,3,4,4,7,5,3,3,6,4,0,4
4,7,8,12,9,11,13,6,11,10,15,16,11,11,9,9,11,13,8,13,5,9,13,10,19,6,9,6,12,13,8,10,13,16,13,9,12,12,9,4,11
5,15,18,23,17,20,20,24,21,18,26,23,20,17,16,26,26,20,18,20,13,16,25,30,35,15,20,14,21,22,13,20,26,34,22,23,20,24,14,18,20
6,29,32,43,32,32,41,40,37,27,38,34,34,31,28,39,41,40,28,30,26,25,38,50,44,32,38,35,37,36,27,33,36,48,41,37,34,38,30,32,33
7,40,57,67,45,45,55,60,58,36,53,54,53,52,45,53,60,54,46,37,42,40,56,67,59,43,56,54,57,59,43,64,47,64,63,50,46,54,48,52,55
8,61,84,81,68,61,69,78,75,54,72,84,74,70,58,75,81,73,68,57,67,63,68,84,88,65,75,72,80,79,62,75,62,79,79,68,61,78,73,79,72
9,84,102,94,87,84,81,100,100,69,96,113,95,91,78,88,97,91,88,75,87,91,89,99,100,94,93,101,97,92,85,94,87,95,94,87,86,100,94,99,95
10,99,122,118,112,111,96,128,123,89,120,121,113,115,107,110,118,118,112,104,104,112,109,114,135,117,109,122,115,114,106,110,109,116,113,108,118,124,112,113,120
11,120,135,135,137,120,107,156,140,106,136,140,129,136,126,133,145,133,135,130,131,129,130,131,153,143,129,141,131,141,127,136,130,138,129,131,135,149,144,138,134
12,134,153,157,148,139,132,169,156,122,156,164,159,148,149,162,162,152,146,156,141,147,146,144,172,166,145,160,154,171,144,167,164,155,148,160,160,180,166,162,157
13,163,178,174,162,156,153,192,171,155,177,167,173,168,177,175,180,165,171,178,158,175,165,169,198,187,163,178,176,189,163,199,172,183,164,189,187,202,187,173,182
14,182,198,192,180,180,168,204,199,178,193,189,198,201,200,191,197,177,177,206,181,200,179,186,212,197,181,194,193,196,187,204,191,202,184,216,204,216,213,194,203
15,194,211,203,197,190,184,218,219,196,202,205,212,225,220,217,221,197,185,233,190,236,208,219,234,211,199,210,207,211,199,230,203,231,205,225,219,233,239,220,215
16,209,227,225,211,212,210,240,230,216,209,213,240,242,240,240,245,218,213,252,206,266,237,225,253,220,221,227,229,222,232,261,222,251,228,255,239,248,254,240,246
17,228,239,243,238,241,228,259,252,243,225,231,263,254,257,253,264,238,232,266,233,274,253,242,277,243,244,246,244,240,246,287,231,262,256,272,255,253,271,251,256
18,248,244,256,258,262,240,273,264,262,244,244,276,286,273,267,277,247,248,276,246,282,274,265,286,255,261,265,256,258,258,298,251,275,273,297,273,275,291,267,272
19,255,268,267,265,273,264,285,289,274,268,256,292,305,296,277,291,258,266,287,257,314,297,280,298,267,270,286,270,276,276,315,270,282,301,317,278,286,320,288,279
20,269,275,286,274,279,276,300,304,281,275,265,299,323,305,302,312,259,285,297,280,323,314,296,321,283,288,300,276,284,285,330,289,294,310,333,308,302,338,305,288
21,279,285,300,288,300,282,313,321,288,287,272,307,338,320,317,325,264,299,314,298,331,330,307,333,309,298,314,303,302,304,352,288,307,324,344,321,303,357,321,300
